Symbol Name,Reference,Value,Footprint,Datasheet,Description,Manufacturer,MPN,Tolerance,Series,Trustedparts Search,Maximum DC Current (A)
L_XAL1080-103ME,L,10 µH,footprints:XAL1080,https://www.coilcraft.com/getmedia/18b60eaf-2c95-4723-8b7f-5f43f66ed007/xal1080.pdf,INDUCTOR SMD 10 µH ±20% AEC-Q200,Coilcraft,XAL1080-103ME,±20%,XAL1080,https://www.trustedparts.com/en/search/XAL1080-103ME,14.8
L_XAL1080-123ME,L,12 µH,footprints:XAL1080,https://www.coilcraft.com/getmedia/18b60eaf-2c95-4723-8b7f-5f43f66ed007/xal1080.pdf,INDUCTOR SMD 12 µH ±20% AEC-Q200,Coilcraft,XAL1080-123ME,±20%,XAL1080,https://www.trustedparts.com/en/search/XAL1080-123ME,13.9
L_XAL1080-153ME,L,15 µH,footprints:XAL1080,https://www.coilcraft.com/getmedia/18b60eaf-2c95-4723-8b7f-5f43f66ed007/xal1080.pdf,INDUCTOR SMD 15 µH ±20% AEC-Q200,Coilcraft,XAL1080-153ME,±20%,XAL1080,https://www.trustedparts.com/en/search/XAL1080-153ME,11.7
L_XAL1080-183ME,L,18 µH,footprints:XAL1080,https://www.coilcraft.com/getmedia/18b60eaf-2c95-4723-8b7f-5f43f66ed007/xal1080.pdf,INDUCTOR SMD 18 µH ±20% AEC-Q200,Coilcraft,XAL1080-183ME,±20%,XAL1080,https://www.trustedparts.com/en/search/XAL1080-183ME,10.8
L_XAL1080-223ME,L,22 µH,footprints:XAL1080,https://www.coilcraft.com/getmedia/18b60eaf-2c95-4723-8b7f-5f43f66ed007/xal1080.pdf,INDUCTOR SMD 22 µH ±20% AEC-Q200,Coilcraft,XAL1080-223ME,±20%,XAL1080,https://www.trustedparts.com/en/search/XAL1080-223ME,10.0
L_XAL1080-333ME,L,33 µH,footprints:XAL1080,https://www.coilcraft.com/getmedia/18b60eaf-2c95-4723-8b7f-5f43f66ed007/xal1080.pdf,INDUCTOR SMD 33 µH ±20% AEC-Q200,Coilcraft,XAL1080-333ME,±20%,XAL1080,https://www.trustedparts.com/en/search/XAL1080-333ME,7.5
